RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
PLPP5,RBM33,GNB4,,,,,ELMOD3,,,PTPN12,,PLEKHA8P1,PTPN4,GAS7,,RAB11A,PSME4,,RALGPS1,,,,,,,PRKAA1,,,,,,PPFIBP1,,,,,,,,PRR13,PRKAB2,PIGA,,G0S2,,,,,,,,,,,,WASF1,,,,,,,,PLSCR1,,,,,,,PKP1,,,,,,,,DENND2D,,GPR18,,OGDH,,,XPO6,PRKACA,PARP9,PCBP1,PSMB10,POLG,TTC33,GABBR1,,PYCR2,PRKG1,,,,OPTN,PSMD9,,RC3H2,,PPP3CC,,,,,PARVB,,,,PF4V1,,,GUCY1B1,FZR1,,,GOLIM4,PTK2,YIF1B,PDS5B,,,POLG,PGRMC2,,GRSF1,,PLEKHA8P1,,,,,,,RERE,,,,HMGB2,,,,HEXIM1,,CRTC3,,,,,SLC25A39,,POLR2M,,,,SRSF10,,,RBMS1,,RGS18,,,ITPRIP,,PRMT9,,,
PLS3,RBM38,GNB5,,,,,ELN,,,PTPN18,,PLEKHB1,PTPN6,GATAD2B,,RAB11FIP1,PSTPIP2,,RALY,,,,,,,PRKAB2,,,,,,PPHLN1,,,,,,,,PRR14L,PRKACA,PIGBOS1,,G3BP2,,,,,,,,,,,,WASL,,,,,,,,PLXDC2,,,,,,,PKP4,,,,,,,,DENND3,,GPR180,,OGFRL1,,,XRN1,PRKACB,PARVG,PCBP2,PSMD9,POLG2,TTC7B,GABPA,,PYGB,PRKX,,,,ORAI1,PSME3,,RCAN3,,PPP4R2,,,,,PATL2,,,,PFKL,,,GUCY2C,G0S2,,,GOLM1,PTK2B,YIPF4,PDZD2,,,POLG2,PGS1,,GRWD1,,PLEKHB2,,,,,,,RESF1,,,,HMGCL,,,,HGSNAT,,CRY1,,,,,SLC2A1,,POLR3GL,,,,SSBP4,,,RBMX,,RGS19,,,ITSN2,,PRNP,,,
PLXDC2,RBMS1,GNG10,,,,,ELOC,,,PTPN6,,PLEKHB2,PTPRA,GBA2,,RAB27B,PTBP3,,RAMP2,,,,,,,PRKACA,,,,,,PPIAP22,,,,,,,,PRRG1,PRKACB,PIGH,,G6PD,,,,,,,,,,,,WBP1,,,,,,,,PMM1,,,,,,,PLA2G12A,,,,,,,,DENND4A,,GPR183,,OLFM4,,,YBX1P1,PRKAR1B,PATL1,PCDH1,PSME3,POLR2A,TTN,GABRA4,,PYGL,PRMT1,,,,ORC6,PSME4,,RCC2,,PPP6C,,,,,PAWR,,,,PFN1,,,GUSB,G3BP2,,,GOLT1B,PTMAP2,YLPM1,PDZK1IP1,,,POLR2A,PHACTR2,,GSE1,,PLEKHJ1,,,,,,,REST,,,,HMGCS1,,,,HHEX,,CRY2,,,,,SLC2A3,,POU2F2,,,,SSH1,,,RBMXL1,,RGS6,,,IVNS1ABP,,PRPF18,,,
PML,RBMX,GNG13,,,,,ELOVL7,,,PTPRC,,PLEKHG3,PTPRC,GBF1,,RAB2B,PTCRA,,RANBP1,,,,,,,PRKACB,,,,,,PPM1A,,,,,,,,PRRG4,PRKAR1B,PIGT,,GAB2,,,,,,,,,,,,WBP2,,,,,,,,PNMA1,,,,,,,PLA2R1,,,,,,,,DENND4B,,GPR89A,,OPTN,,,YBX1P10,PRKAR2B,PATL2,PCDH10,PSME4,POLR2G,TUBA4A,GABRE,,PYHIN1,PROS1,,,,ORM1,PSTPIP2,,RCN2,,PPP6R1,,,,,PAX5,,,,PGAM1,,,GUSBP1,G6PD,,,GON4L,PTMAP5,YOD1,PEA15,,,POLR2G,PHB2,,GSR,,PLEKHM1P1,,,,,,,REV1,,,,HMGN2,,,,HIF1AN,,CRYBB2P1,,,,,SLC2A4RG,,PPBP,,,,SSH2,,,RBX1,,RHBDD1,,,JADE1,,PRPF38A,,,
PMM2,RBX1,GNG2,,,,,ELP3,,,PTPRF,,PLEKHJ1,PTPRF,GBGT1,,RAB30,PTGDR,,RAP1A,,,,,,,PRKAR2B,,,,,,PPM1F,,,,,,,,PRSS30P,PRKAR2B,PIK3AP1,,GABARAPL1,,,,,,,,,,,,WDFY4,,,,,,,,PNRC2,,,,,,,PLAC8,,,,,,,,DENND4C,,GPRC6A,,ORAI1,,,YIF1B,PRKCB,PAX5,PCGF5,PSTPIP2,POLR2H,TUBB1,GABRG2,,QKI,PROSER1,,,,OSBP,PTBP3,,RCSD1,,PREX1,,,,,PAXX,,,,PGAP1,,,GVINP1,GAB2,,,GP1BA,PTN,YPEL5,PEAK1,,,POLR2K,PHC1,,GSTCD,,PLEKHM2,,,,,,,REXO2,,,,HMOX1,,,,HIF3A,,CRYBG1,,,,,SLC30A5,,PPDPF,,,,SSR4,,,RC3H2,,RHEB,,,JADE2,,PRR12,,,
PMP22,RC3H2,GNG5,,,,,ELP4,,,PTPRJ,,PLEKHO1,PTTG1,GBP1,,RAB31,PTGER4,,RAP1B,,,,,,,PRKCA,,,,,,PPP1CB,,,,,,,,PRTFDC1,PRKCA,PIK3C2B,,GABARAPL2,,,,,,,,,,,,WDR1,,,,,,,,POC1B,,,,,,,PLBD1,,,,,,,,DENND5A,,GPX4,,ORAI2,,,YLPM1,PRKCD,PAXX,PCLAF,PTBP3,POLR2I,TUT7,GALC,,R3HDM1,PRR12,,,,OSBPL1A,PTCRA,,REEP4,,PRF1,,,,,PBXIP1,,,,PGD,,,GXYLT1,GABARAPL1,,,GP9,PTP4A2,YWHAH,PEAR1,,,POLR3GL,PHC2,,GSTM3,,PLEKHO1,,,,,,,RFC2,,,,HNMT,,,,HIKESHI,,CRYBG2,,,,,SLC30A7,,PPFIBP1,,,,ST3GAL2,,,RCAN3,,RHOA,,,JAG1,,PRR13,,,
PNN,RCAN3,GNG8,,,,,ELP6,,,PTPRT,,PLEKHO2,PTTG1IP,GBP2,,RAB32,PTGES2,,RAP2B,,,,,,,PRKCB,,,,,,PPP1R16B,,,,,,,,PSD4,PRKCB,PIK3C3,,GABPA,,,,,,,,,,,,WDR26,,,,,,,,POF1B,,,,,,,PLCB2,,,,,,,,DENND5B,,GRAMD1A,,OSBP,,,YOD1,PRKD2,PBXIP1,PCLO,PTCRA,POLR3GL,TXNDC5,GALK1,,R3HDM4,PRR13,,,,OSBPL6,PTDSS2,,REL,,PRKAA1,,,,,PCBP1,,,,PGF,,,GYG2P1,GABARAPL2,,,GPALPP1,PTPN12,YY1AP1,PEBP1,,,POM121,PHF11,,GSTM4,,PLEKHO2,,,,,,,RFLNB,,,,HNRNPA1,,,,HILPDA,,CRYBG3,,,,,SLC35D2,,PPIAP22,,,,ST3GAL3,,,RCC2,,RHOB,,,JAGN1,,PRR14L,,,
PNRC2,RCBTB2,GNL2,,,,,EMB,,,PTTG1IP,,PLGRKT,PUS7L,GBP4,,RAB38,PTGES3L,,RAPGEF1,,,,,,,PRKCD,,,,,,PPP1R1B,,,,,,,,PSMA2,PRKCD,PIK3CA,,GABPB2,,,,,,,,,,,,WDR44,,,,,,,,POLE4,,,,,,,PLCG1,,,,,,,,DENND6A,,GRAMD1B,,OSBPL2,,,YPEL5,PRKD3,PCBP1,PCMT1,PTENP1,PPA1,TXNL4B,GALNT1,,RAB11A,PRRG4,,,,OSBPL8,PTENP1,,RENBP,,PRKAB2,,,,,PCDH1,,,,PGK1,,,GYPC,GABPA,,,GPAT4,PTPN18,ZBTB44,PECAM1,,,POU5F2,PHF12,,GSTO1,,PLGRKT,,,,,,,RFNG,,,,HNRNPA1L2,,,,HINT3,,CRYL1,,,,,SLC35E1,,PPIH,,,,ST3GAL4,,,RCN2,,RHOBTB3,,,JAK1,,PRR7,,,
POC1B,RCC2,GNL3L,,,,,EMC10,,,PUS10,,PLIN2,PVT1,GBP5,,RAB3D,PTGIR,,RAPGEF5,,,,,,,PRKCH,,,,,,PPP1R2,,,,,,,,PSMA6,PRKCH,PIK3CD,,GABRA4,,,,,,,,,,,,WDR45,,,,,,,,POLG,,,,,,,PLCG2,,,,,,,,DENND6B,,GRAMD4,,OSBPL8,,,YWHAH,PRKDC,PCCB,PCMTD1,PTGER2,PPBP,TYMS,GALNT10,,RAB11FIP1,PRTFDC1,,,,OSBPL9,PTGDR,,RERE,,PRKACA,,,,,PCED1A,,,,PGM2L1,,,GYS1,GABPB1,,,GPATCH2,PTPN6,ZDBF2,PELI1,,,PPAN,PHF2,,GSTZ1,,PLP1,,,,,,,RFX3,,,,HNRNPA3P6,,,,HIP1,,CRYZ,,,,,SLC35E3,,PPIP5K2,,,,ST6GAL1,,,RCSD1,,RHOC,,,JAK2,,PRRG1,,,
POF1B,RCSD1,GNLY,,,,,EMC2,,,PXN,,PLOD3,PXN,GCA,,RAB4A,PTGS1,,RAPGEF6,,,,,,,PRKD2,,,,,,PPP1R35,,,,,,,,PSMB10,PRKD2,PIK3CG,,GABRB1,,,,,,,,,,,,WDTC1,,,,,,,,POLM,,,,,,,PLCL2,,,,,,,,DEPDC1B,,GRAP2,,OSER1,,,YY1AP1,PRKG1,PCDH10,PCNT,PTGER4,PPDPF,TYROBP,GALNT11,,RAB21,PRUNE1,,,,OST4,PTGER2,,RESF1,,PRKACB,,,,,PCGF5,,,,PGP,,,GZMA,GABPB2,,,GPATCH8,PTPRA,ZEB1,PERP,,,PPARA,PHF20,,GTDC1,,PLP2,,,,,,,RGCC,,,,HNRNPAB,,,,HIP1R,,CRYZL1,,,,,SLC40A1,,PPM1A,,,,ST7,,,RDH10,,RIDA,,,JAK3,,PRTFDC1,,,
POGLUT1,RDH14,GNPTAB,,,,,EMC3,,,PYCR2,,PLP1,PYCARD,GCC1,,RAB5IF,PTK2,,RARA,,,,,,,PRKD3,,,,,,PPP1R3E,,,,,,,,PSMD9,PRKD3,PIK3IP1,,GABRE,,,,,,,,,,,,WFDC1,,,,,,,,POLR2A,,,,,,,PLEC,,,,,,,,DEPP1,,GRB10,,OST4,,,ZC3H7B,PRMT1,PCGF5,PCNX1,PTGES2,PPFIBP1,U2AF1L4,GALNT2,,RAB27B,PRXL2C,,,,OSTF1,PTGER4,,REST,,PRKAR1B,,,,,PCLAF,,,,PGRMC1,,,GZMB,GABRA4,,,GPCPD1,PTPRC,ZEB2,PEX16,,,PPBP,PHF21A,,GTF2A1,,PLPP1,,,,,,,RGS10,,,,HNRNPC,,,,HIPK1,,CS,,,,,SLC44A1,,PPM1F,,,,ST8SIA6,,,RDH14,,RIN3,,,JAKMIP2,,PRUNE1,,,
POLDIP3,REEP4,GNRHR2,,,,,EMC6,,,PYGL,,PLP2,PYHIN1,GCC2,,RAB7A,PTK2B,,RARRES1,,,,,,,PRKDC,,,,,,PPP1R9B,,,,,,,,PSME3,PRKDC,PIK3R5,,GALK1,,,,,,,,,,,,WFDC2,,,,,,,,POLR2B,,,,,,,PLEK,,,,,,,,DERA,,GRB14,,OSTF1,,,ZEB1,PRMT2,PCLAF,PCP2,PTGES3L,PPHLN1,UACA,GALNT7,,RAB28,PSD4,,,,OSTM1,PTGES,,RETN,,PRKAR2B,,,,,PCLO,,,,PGRMC2,,,GZMH,GABRB3,,,GPD1L,PTPRF,ZFAND2A,PF4,,,PPDPF,PHPT1,,GTF2B,,PMM1,,,,,,,RGS18,,,,HNRNPDL,,,,HIPK2,,CSAD,,,,,SLC44A2,,PPP1CB,,,,STAB1,,,REEP4,,RIOK3,,,JAM3,,PSD4,,,
POLE4,REL,GNS,,,,,EMC8,,,QKI,,PLPP1,QKI,GCHFR,,RAB8A,PTMAP2,,RASA1,,,,,,,PRNP,,,,,,PPP2R5C,,,,,,,,PSME4,PRKX,PIKFYVE,,GALNS,,,,,,,,,,,,WHAMMP2,,,,,,,,POLR2G,,,,,,,PLEKHA2,,,,,,,,DERL1,,GRB2,,OTUD1,,,ZEB2,PRNP,PCLO,PCSK7,PTGIR,PPIAP22,UBALD2,GAMT,,RAB2B,PSMA2,,,,OTULINL,PTGIR,,RETREG3,,PRKCB,,,,,PCMT1,,,,PGS1,,,GZMK,GABRE,,,GPD2,PTPRJ,ZFAND2B,PFKFB3,,,PPFIBP1,PI4KA,,GTF2F1,,PNKP,,,,,,,RGS19,,,,HNRNPH3,,,,HIPK3,,CSE1L,,,,,SLC4A1,,PPP1R12A,,,,STAG2,,,REL,,RIPK2,,,JAML,,PSIP1,,,
POLG,RELT,GOLGA5,,,,,EMCN,,,QPCT,,PLXDC2,QRICH1,GCLC,,RAB8B,PTMAP5,,RASA3,,,,,,,PROS1,,,,,,PPP3CC,,,,,,,,PSTPIP1,PRNP,PILRB,,GALNT1,,,,,,,,,,,,WIPF1,,,,,,,,POLR3F,,,,,,,PLEKHA8P1,,,,,,,,DERL2,,GRINA,,P2RX5,,,ZFAND2A,PROS1,PCMT1,PCTP,PTGS1,PPIF,UBAP2,GAR1,,RAB31,PSMA6,,,,P2RX5,PTGS1,,REXO2,,PRKCD,,,,,PCMTD1,,,,PHACTR2,,,H6PD,GALK1,,,GPI,PTPRS,ZFAND5,PFKL,,,PPIAP22,PICALM,,GTF2H3,,PNN,,,,,,,RGS5,,,,HNRNPLL,,,,HIVEP3,,CSF1R,,,,,SLC8A1,,PPP1R12C,,,,STARD13,,,RELT,,RIPOR1,,,JARID2,,PSMA6,,,
POLG2,RERE,GOLGA7,,,,,EMD,,,QRICH1,,PML,R3HDM1,GCN1,,RAB9A,PTP4A2,,RASGRP2,,,,,,,PRPF19,,,,,,PPP3R1,,,,,,,,PSTPIP2,PROK2,PIM1,,GALNT15,,,,,,,,,,,,WNK1,,,,,,,,POLR3G,,,,,,,PLEKHB2,,,,,,,,DESI1,,GRIPAP1,,P2RX7,,,ZFAND2B,PRPF18,PCMTD1,PDCD10,PTK2,PPM1A,UBE2F,GART,,RAB32,PSMB10,,,,P2RX7,PTK2,,RFC2,,PRKCH,,,,,PCNX4,,,,PHACTR4,,,HABP4,GALNS,,,GPN1,PTTG1,ZFAS1,PFN1,,,PPIL4,PIGBOS1,,GTF2H5,,PNP,,,,,,,RHBDD1,,,,HNRNPUL1,,,,HJURP,,CSF3R,,,,,SLC9A1,,PPP1R16B,,,,STARD8,,,RERE,,RIPOR2,,,JAZF1,,PSMB10,,,
POLM,RESF1,GOLGA8A,,,,,EMG1,,,QSOX2,,PMP22,R3HDM4,GCNA,,RABEP1,PTPN12,,RASSF1,,,,,,,PRPF39,,,,,,PPP4R1,,,,,,,,PTBP3,PROS1,PIM3,,GALNT18,,,,,,,,,,,,WWP2,,,,,,,,POLR3GL,,,,,,,PLEKHJ1,,,,,,,,DEXI,,GRK2,,P2RY1,,,ZFAND3,PRPSAP1,PCNT,PDCD4,PTK2B,PPM1F,UBE2H,GAS7,,RAB33A,PSMD9,,,,P2RY1,PTK2B,,RFLNB,,PRKCQ,,,,,PCP2,,,,PHB2,,,HACD2,GALNT1,,,GPR141,PTTG1IP,ZFYVE27,PGAM1,,,PPM1A,PIGH,,GTF2I,,PNRC2,,,,,,,RHEB,,,,HOMER2,,,,HK1,,CSGALNACT1,,,,,SLCO3A1,,PPP1R35,,,,STAT1,,,RESF1,,RIT1,,,JCAD,,PSMC2,,,
POLR2A,RETN,GOLM1,,,,,EMILIN2,,,R3HDM1,,PNN,RAB10,GCNT4,,RABGAP1L,PTPN18,,RASSF2,,,,,,,PRR11,,,,,,PPP6C,,,,,,,,PTCRA,PROSER1,PIP4K2A,,GALNT2,,,,,,,,,,,,XPNPEP1,,,,,,,,PON2,,,,,,,PLEKHM1P1,,,,,,,,DFFA,,GRK3,,P4HB,,,ZFAS1,PRR13,PCNX4,PDCD6,PTMAP2,PPM1L,UBE2J1,GATA1,,RAB38,PSME4,,,,PABPC4,PTMAP2,,RFNG,,PRKD3,,,,,PCSK6,,,,PHC1,,,HACD4,GALNT10,,,GPR153,PVT1,ZMIZ1,PGD,,,PPM1F,PIGR,,GTF2IP12,,POC1B,,,,,,,RHOA,,,,HOOK1,,,,HLF,,CSK,,,,,SLFN13,,PPP1R3D,,,,STAT5B,,,REST,,RLIM,,,JCHAIN,,PSMD9,,,
POLR2G,REXO2,GOLT1B,,,,,EML3,,,RAB11A,,PNP,RAB11A,GCSAM,,RABGEF1,PTPN6,,RASSF3,,,,,,,PRR12,,,,,,PPP6R1,,,,,,,,PTDSS2,PRPF38A,PIP4P1,,GALNT3,,,,,,,,,,,,XPO1,,,,,,,,POU2F2,,,,,,,PLEKHO1,,,,,,,,DGAT1,,GRK4,,PABPC4,,,ZFYVE27,PRR7,PCP2,PDE3B,PTMAP5,PPM1M,UBE2O,GATA2,,RAB3D,PSTPIP2,,,,PACS1,PTMAP5,,RFX7,,PRKDC,,,,,PCSK7,,,,PHF11,,,HACL1,GALNT11,,,GPR155,PXN,ZMYM4,PGP,,,PPM1K,PIK3AP1,,GTF3A,,POGK,,,,,,,RHOBTB3,,,,HOOK2,,,,HLX,,CSNK1D,,,,,SLFN5,,PPP1R3E,,,,STIM1,,,RETN,,RMND5A,,,JMY,,PSTPIP2,,,
POLR3F,RFC1,GON4L,,,,,EML4,,,RAB11FIP1,,PNPLA8,RAB11FIP1,GDAP2,,RAC1P2,PTPRA,,RASSF5,,,,,,,PRR13,,,,,,PRAM1,,,,,,,,PTENP1,PRPF39,PITHD1,,GALT,,,,,,,,,,,,XPO6,,,,,,,,PPBP,,,,,,,PLEKHO2,,,,,,,,DGCR2,,GRK5,,PACS1,,,ZMIZ1,PRRG4,PCSK6,PDE4D,PTP4A2,PPP1CB,UBE2Q1,GBF1,,RAB4A,PTBP3,,,,PACSIN2,PTP4A2,,RGCC,,PRMT1,,,,,PDCD4,,,,PHF12,,,HADH,GALNT15,,,GPR160,PYCR2,ZNF106,PGRMC1,,,PPM1L,PIK3CD,,GTF3C3,,POGLUT1,,,,,,,RHOC,,,,HOPX,,,,HM13,,CSNK1E,,,,,SLK,,PPP1R9A,,,,STK10,,,REXO2,,RN7SL1,,,JOSD1,,PTBP3,,,
POLR3GL,RFC2,GOSR2,,,,,EMP1,,,RAB11FIP2,,PNRC2,RAB11FIP4,GDF11,,RAC2,PTPRC,,RASSF6,,,,,,,PRR7,,,,,,PRCD,,,,,,,,PTGER2,PRR12,PITPNB,,GAMT,,,,,,,,,,,,XRN1,,,,,,,,PPDPF,,,,,,,PLGRKT,,,,,,,,DGKA,,GRK6,,PACSIN2,,,ZMYM4,PRTFDC1,PCSK7,PDE5A,PTPN1,PPP1R16B,UBE2Q2,GBP1,,RAB5IF,PTCRA,,,,PAF1,PTPN12,,RGS10,,PRMT2,,,,,PDE4D,,,,PHF2,,,HAGHL,GALNT18,,,GPR171,PYGB,ZNF185,PGS1,,,PPP1CB,PIK3CG,,GTF3C6,,POLG,,,,,,,RIC3,,,,HPCAL1,,,,HMG20A,,CSNK1G1,,,,,SLMAP,,PPP1R9B,,,,STK17A,,,RFLNB,,RNASE6,,,JOSD2,,PTCRA,,,
POU2F2,RFLNB,GP1BA,,,,,ENAH,,,RAB11FIP4,,POC1B,RAB24,GDF7,,RAD23A,PTPRF,,RB1,,,,,,,PRTFDC1,,,,,,PRDM2,,,,,,,,PTGER4,PRR13,PITPNC1,,GANAB,,,,,,,,,,,,YBX1P1,,,,,,,,PPFIBP1,,,,,,,PLIN2,,,,,,,,DGKB,,GRN,,PADI2,,,ZMYND10,PRUNE1,PDCD10,PDE6D,PTPN12,PPP1R2,UBE2Q2P1,GBP2,,RAB7A,PTDSS2,,,,PAFAH1B3,PTPN18,,RGS13,,PRNP,,,,,PDE4DIP,,,,PHF21A,,,HAL,GALNT2,,,GPR174,QKI,ZNF195,PHACTR2,,,PPP1R16B,PIK3IP1,,GTPBP1,,POLG2,,,,,,,RILPL2,,,,HPD,,,,HMG20B,,CSNK1G3,,,,,SMAD1,,PPP2R5C,,,,STK24,,,RFNG,,RNF10,,,JPT1,,PTENP1,,,
PPBP,RFX7,GP9,,,,,ENC1,,,RAB24,,POLE4,RAB2B,GDI1,,RAD23B,PTPRJ,,RB1CC1,,,,,,,PRUNE1,,,,,,PRDX4,,,,,,,,PTGES2,PRR14L,PITPNM1,,GAPT,,,,,,,,,,,,YBX1P10,,,,,,,,PPHLN1,,,,,,,PLP1,,,,,,,,DGKD,,GRPEL1,,PADI4,,,ZNF106,PRXL2C,PDCD4,PDGFA,PTPN18,PPP1R3D,UBE2S,GBP4,,RAB8A,PTENP1,,,,PAH,PTPN4,,RGS18,,PROK2,,,,,PDE5A,,,,PHKB,,,HAT1,GALNT6,,,GPR18,R3HDM1,ZNF217,PHB2,,,PPP1R1B,PIK3R5,,GTPBP2,,POLR1E,,,,,,,RIN2,,,,HPRT1,,,,HMGA1,,CSNK2A2,,,,,SMAD7,,PPP3R1,,,,STK26,,,RFTN1,,RNF103,,,JPT2,,PTGDR,,,
PPFIBP1,RGCC,GPATCH11,,,,,ENDOD1,,,RAB27B,,POLG2,RAB30,GDPD3,,RAD54L2,PTTG1,,RBBP4,,,,,,,PSD4,,,,,,PREX1,,,,,,,,PTGIR,PRRG4,PJA2,,GAR1,,,,,,,,,,,,YIF1B,,,,,,,,PPIAP22,,,,,,,PLP2,,,,,,,,DGKE,,GRSF1,,PAF1,,,ZNF185,PSD4,PDCD6,PDGFB,PTPN2,PPP1R3E,UBE2V1,GBP5,,RAB8B,PTGER2,,,,PAIP1,PTPN6,,RHBDD1,,PROS1,,,,,PDE6D,,,,PHPT1,,,HAUS1,GALNT7,,,GPR183,R3HDM4,ZNF271P,PHF2,,,PPP1R35,PIKFYVE,,GTPBP3,,POLR2A,,,,,,,RIN3,,,,HPS1,,,,HMGB1P5,,CSPG4P12,,,,,SMARCA2,,PPP4R1,,,,STK4,,,RGCC,,RNF11,,,JPX,,PTGER2,,,
PPIAP22,RGS10,GPATCH2,,,,,ENG,,,RAB28,,POLR2A,RAB31,GEMIN7,,RALB,PTTG1IP,,RBBP6,,,,,,,PSIP1,,,,,,PRF1,,,,,,,,PTGS1,PRTFDC1,PKHD1L1,,GAREM2,,,,,,,,,,,,YLPM1,,,,,,,,PPIF,,,,,,,PLXDC2,,,,,,,,DGKH,,GSE1,,PAGR1,,,ZNF271P,PSIP1,PDE4DIP,PDHA1,PTPN4,PPP1R9B,UBR2,GCA,,RABEP1,PTGIR,,,,PAIP2,PTPRC,,RHBDD2,,PRPF38A,,,,,PDGFRB,,,,PHYKPL,,,HAUS3,GALT,,,GPR65,RAB10,ZNF273,PHKB,,,PPP1R3E,PILRB,,GTSE1,,POLR2B,,,,,,,RIOK3,,,,HPS3,,,,HMGB1P51,,CSPG5,,,,,SMARCA5,,PPP6C,,,,STK40,,,RGS10,,RNF115,,,JUP,,PTGER4,,,
PPIF,RGS18,GPATCH4,,,,,ENO1,,,RAB30,,POLR2G,RAB32,GEN1,,RALY,PXK,,RBL2,,,,,,,PSMA2,,,,,,PRKAA1,,,,,,,,PTK2,PRUNE1,PKN1,,GAS2L3,,,,,,,,,,,,YOD1,,,,,,,,PPL,,,,,,,PMM2,,,,,,,,DGKI,,GSK3A,,PAIP2,,,ZNF280D,PSMA2,PDE5A,PDIA4,PTPN6,PPP2CB,UBR4,GCC1,,RABGAP1,PTGS1,,,,PAK1,PTPRF,,RHEB,,PRPSAP1,,,,,PDIA6,,,,PI4KA,,,HAUS4,GAMT,,,GPR89A,RAB11A,ZNF280D,PHPT1,,,PPP1R9B,PIM1,,GUCD1,,POLR2G,,,,,,,RIPOR1,,,,HPS6,,,,HMGB2,,CSPP1,,,,,SMARCC1,,PPP6R1,,,,STMN1,,,RGS18,,RNF130,,,KANK2,,PTGIR,,,
PPM1A,RGS6,GPATCH8,,,,,ENO2,,,RAB31,,POLR2K,RAB3D,GET4,,RANBP1,PXMP4,,RBM23,,,,,,,PSMA6,,,,,,PRKAB2,,,,,,,,PTK2B,PSD4,PKP1,,GAS7,,,,,,,,,,,,YPEL5,,,,,,,,PPM1A,,,,,,,PNN,,,,,,,,DHDDS,,GSR,,PAK1,,,ZNF580,PSMA6,PDE6D,PDIA6,PTPRC,PPP2R5C,UBTF,GCC2,,RABGAP1L,PTK2,,,,PAK2,PTRH1,,RHOA,,PRR12,,,,,PDK4,,,,PI4KAP2,,,HAVCR2,GAN,,,GPR89B,RAB27B,ZNF331,PHTF1,,,PPP2R5C,PIM3,,GUCY1A1,,POLR3D,,,,,,,RIPOR2,,,,HS1BP3,,,,HMGN2,,CSRNP2,,,,,SMARCC2,,PPT1,,,,STMP1,,,RGS19,,RNF135,,,KANSL3,,PTGS1,,,
PPM1F,RHAG,GPCPD1,,,,,ENO3,,,RAB32,,POLR2M,RAB5IF,GFOD1,,RANBP10,PXN,,RBM33,,,,,,,PSMD11,,,,,,PRKACA,,,,,,,,PTMAP2,PSIP1,PKP4,,GATA1,,,,,,,,,,,,YWHAH,,,,,,,,PPM1F,,,,,,,PNRC2,,,,,,,,DHFR,,GSS,,PAK2,,,ZNF592,PSMD11,PDGFA,PDK1,PTPRE,PPP3CC,UBXN1,GCG,,RAC1P2,PTK2B,,,,PALLD,PTTG1,,RHOBTB1,,PRR13,,,,,PDLIM1,,,,PIAS1,,,HBB,GANC,,,GPRIN3,RAB2B,ZNF33A,PHTF2,,,PPP3R1,PIP4K2A,,GUCY1B1,,POLR3GL,,,,,,,RIT1,,,,HS6ST3,,,,HMGN4,,CST3,,,,,SMARCD2,,PRDM2,,,,STN1,,,RHBDD1,,RNF139,,,KAT2A,,PTK2,,,
