"RNAID","prct_dedup","Run"
"RNA015844",67.8,"Cohort1"
"RNA015845",61.21,"Cohort1"
"RNA015846",69.49,"Cohort1"
"RNA015847",56.94,"Cohort1"
"RNA015848",53.63,"Cohort1"
"RNA015849",61.47,"Cohort1"
"RNA015850",56.92,"Cohort1"
"RNA015851",66.49,"Cohort1"
"RNA015852",77.3,"Cohort1"
"RNA015853",64.31,"Cohort1"
"RNA015854",65.02,"Cohort1"
"RNA015855",83,"Cohort1"
"RNA015856",56.33,"Cohort1"
"RNA015857",55.48,"Cohort1"
"RNA015858",68.53,"Cohort1"
"RNA015859",66.61,"Cohort1"
"RNA015860",63.84,"Cohort1"
"RNA015861",64.81,"Cohort1"
"RNA015862",61.59,"Cohort1"
"RNA015863",72.06,"Cohort1"
"RNA015864",23.76,"Cohort1"
"RNA015865",51.55,"Cohort1"
"RNA015866",68.63,"Cohort1"
"RNA015867",66.95,"Cohort1"
"RNA015868",67.52,"Cohort1"
"RNA015869",68.79,"Cohort1"
"RNA015970",66.07,"Cohort1"
"RNA015971",68.03,"Cohort1"
"RNA015972",57.73,"Cohort1"
"RNA015973",61.63,"Cohort1"
"RNA015974",61.41,"Cohort1"
"RNA022999",24.44,"Run581"
"RNA023000",29.07,"Run581"
"RNA023001",37.44,"Run581"
"RNA023002",52.42,"Run581"
"RNA023003",10.21,"Run581"
"RNA023004",10.26,"Run581"
"RNA023005",21.19,"Run581"
"RNA023006",21.3,"Run581"
"RNA023007",23.74,"Run581"
"RNA023008",16.65,"Run581"
"RNA023009",21.3,"Run581"
"RNA023010",46.12,"Run581"
"RNA023011",29.78,"Run581"
"RNA023012",34.26,"Run581"
"RNA023013",35.44,"Run581"
"RNA023014",20.9,"Run581"
"RNA023015",33.65,"Run581"
"RNA023016",52.43,"Run581"
"RNA023017",46.95,"Run581"
"RNA023018",46.05,"Run581"
"RNA023019",27.88,"Run581"
"RNA023020",40.8,"Run581"
"RNA023021",36.47,"Run581"
"RNA023022",44.14,"Run581"
"RNA023023",19.32,"Run581"
"RNA023024",20.45,"Run581"
"RNA023025",36.61,"Run581"
"RNA023026",21.15,"Run581"
"RNA023027",30.51,"Run581"
"RNA023028",37.19,"Run581"
"RNA023029",29.34,"Run581"
"RNA023030",40.16,"Run581"
"RNA023031",33.06,"Run581"
"RNA023032",47.57,"Run581"
"RNA023033",28.78,"Run581"
"RNA023034",84.3,"Run581"
"RNA023035",37.25,"Run581"
"RNA023036",32.4,"Run581"
"RNA023037",35.89,"Run581"
"RNA023039",60.55,"Run581"
"RNA023040",20.39,"Run581"
"RNA023041",48.86,"Run581"
"RNA023042",44.37,"Run581"
"RNA023044",37.78,"Run581"
"RNA023045",33.43,"Run581"
