"prlnkid_ser","prlnkid_pla"
"SER00238G","PLA00238G"
"SER00239G","PLA00239G"
"SER00240G","PLA00240G"
"SER00241G","PLA00241G"
"SER00242G","PLA00242G"
"SER00242L","PLA00242L"
"SER00243G","PLA00243G"
"SER00244G","PLA00244G"
"SER00244L","PLA00244L"
"SER00245G","PLA00245G"
"SER00245L","PLA00245L"
"SER00246G","PLA00246G"
"SER00247G","PLA00247G"
"SER00248G","PLA00248G"
"SER00249G","PLA00249G"
"SER00251G","PLA00251G"
"SER00252G","PLA00252G"
"SER00253G","PLA00253G"
"SER00254G","PLA00254G"
"SER00255G","PLA00255G"
"SER00255L","PLA00255L"
"SER00256G","PLA00256G"
"SER00257G","PLA00257G"
"SER00258G","PLA00258G"
"SER00259G","PLA00259G"
"SER00260G","PLA00260G"
"SER00261G","PLA00261G"
"SER00262G","PLA00262G"
"SER00263G","PLA00263G"
"SER00264G","PLA00264G"
"SER00265G","PLA00265G"
"SER00266G","PLA00266G"
"SER00267G","PLA00267G"
"SER00268G","PLA00268G"
"SER00269G","PLA00269G"
"SER00270G","PLA00270G"
"SER00271G","PLA00271G"
"SER00272G","PLA00272G"
"SER00272L","PLA00272L"
"SER00273G","PLA00273G"
"SER00274G","PLA00274G"
"SER00275G","PLA00275G"
"SER00276G","PLA00276G"
"SER00277G","PLA00277G"
"SER00278G","PLA00278G"
"SER00279G","PLA00279G"
"SER00280G","PLA00280G"
"SER00281G","PLA00281G"
"SER00282G","PLA00282G"
"SER00283G","PLA00283G"
"SER00284G","PLA00284G"
"SER00285G","PLA00285G"
"SER00287G","PLA00287G"
"SER00288G","PLA00288G"
"SER00289G","PLA00289G"
"SER00290G","PLA00290G"
"SER00291G","PLA00291G"
"SER00292G","PLA00292G"
"SER00293G","PLA00293G"
"SER00294G","PLA00294G"
"SER00295G","PLA00295G"
"SER00296G","PLA00296G"
"SER00297G","PLA00297G"
"SER00298G","PLA00298G"
"SER00299G","PLA00299G"
"SER00300G","PLA00300G"
"SER00301G","PLA00301G"
"SER00302G","PLA00302G"
"SER00303G","PLA00303G"
"SER00304G","PLA00304G"
"SER00305G","PLA00305G"
"SER00306G","PLA00306G"
"SER00307G","PLA00307G"
"SER00308G","PLA00308G"
"SER00309G","PLA00309G"
"SER00310G","PLA00310G"
"SER00311G","PLA00311G"
"SER00312G","PLA00312G"
"SER00313G","PLA00313G"
"SER00314G","PLA00314G"
"SER00315G","PLA00315G"
"SER00317G","PLA00317G"
"SER00318G","PLA00318G"
"SER00319G","PLA00319G"
"SER00320G","PLA00320G"
"SER00321G","PLA00321G"
"SER00322G","PLA00322G"
"SER00323G","PLA00323G"
"SER00324G","PLA00324G"
"SER00325G","PLA00325G"
"SER00326G","PLA00326G"
"SER00327G","PLA00327G"
"SER00328G","PLA00328G"
"SER00329G","PLA00329G"
"SER00330G","PLA00330G"
"SER00331G","PLA00331G"
"SER00332G","PLA00332G"
"SER00333G","PLA00333G"
"SER00334G","PLA00334G"
"SER00335G","PLA00335G"
"SER00336G","PLA00336G"
"SER00337G","PLA00337G"
"SER00338G","PLA00338G"
"SER00339G","PLA00339G"
"SER00340G","PLA00340G"
"SER00341G","PLA00341G"
"SER00342G","PLA00342G"
"SER00343G","PLA00343G"
"SER00344G","PLA00344G"
"SER00345G","PLA00345G"
